Date,Open,,,,,
22-Feb-16,438.99,,,,,
21-Feb-16,437.77,,,,,
20-Feb-16,421.6,,,,,
19-Feb-16,422.73,,,,,
18-Feb-16,416.57,,,,,
17-Feb-16,407.66,,,,,
16-Feb-16,401.43,,,,,
15-Feb-16,407.57,,,,,
14-Feb-16,392.93,,,,,
13-Feb-16,384.64,,,,,
12-Feb-16,379.69,,,,,
11-Feb-16,382.11,,,,,
10-Feb-16,376.15,,,,,
9-Feb-16,373.42,,,,,
8-Feb-16,376.76,,,,,
7-Feb-16,376.51,,,,,
6-Feb-16,386.59,,,,,
5-Feb-16,388.9,,,,,
4-Feb-16,370.17,,,,,
3-Feb-16,374.65,,,,,
2-Feb-16,372.92,,,,,
1-Feb-16,369.35,,,,,
31-Jan-16,378.29,,,,,
30-Jan-16,378.87,,,,,
29-Jan-16,380.11,,,,,
28-Jan-16,395.15,,,,,
27-Jan-16,392.44,,,,,
26-Jan-16,392,,,,,
25-Jan-16,402.32,,,,,
24-Jan-16,388.1,,,,,
23-Jan-16,382.43,,,,,
22-Jan-16,409.75,,,,,
21-Jan-16,419.63,,,,,
20-Jan-16,379.74,,,,,
19-Jan-16,387.03,,,,,
18-Jan-16,381.73,,,,,
17-Jan-16,387.15,,,,,
16-Jan-16,365.07,,,,,
15-Jan-16,430.25,,,,,
14-Jan-16,432.29,,,,,
13-Jan-16,434.67,,,,,
12-Jan-16,448.18,,,,,
11-Jan-16,448.7,,,,,
10-Jan-16,448.24,,,,,
9-Jan-16,453.38,,,,,
8-Jan-16,457.54,,,,,
7-Jan-16,430.01,,,,,
6-Jan-16,431.86,,,,,
5-Jan-16,433.07,,,,,
4-Jan-16,430.06,,,,,
3-Jan-16,433.58,,,,,
2-Jan-16,434.62,,,,,
1-Jan-16,430.72,,,,,
31-Dec-15,425.88,,,,,
30-Dec-15,433.3,,,,,
29-Dec-15,422.1,,,,,
28-Dec-15,423.34,,,,,
27-Dec-15,416.51,,,,,
26-Dec-15,455.76,,,,,
25-Dec-15,454.86,,,,,
24-Dec-15,443.09,,,,,
23-Dec-15,436.72,,,,,
22-Dec-15,437.44,,,,,
21-Dec-15,442.84,,,,,
20-Dec-15,462.23,,,,,
19-Dec-15,463.55,,,,,
18-Dec-15,455.85,,,,,
17-Dec-15,454.78,,,,,
16-Dec-15,465.21,,,,,
15-Dec-15,443.88,,,,,
14-Dec-15,433.27,,,,,
13-Dec-15,431.66,,,,,
12-Dec-15,452.33,,,,,
11-Dec-15,415.28,,,,,
10-Dec-15,417.99,,,,,
9-Dec-15,414.44,,,,,
8-Dec-15,395.75,,,,,
7-Dec-15,389.98,,,,,
6-Dec-15,389.56,,,,,
5-Dec-15,363.72,,,,,
4-Dec-15,361.26,,,,,
3-Dec-15,359.33,,,,,
2-Dec-15,361.85,,,,,
1-Dec-15,377.41,,,,,
30-Nov-15,371.44,,,,,
29-Nov-15,357.47,,,,,
28-Nov-15,357.14,,,,,
27-Nov-15,351.86,,,,,
26-Nov-15,328.3,,,,,
25-Nov-15,320.05,,,,,
24-Nov-15,323.01,,,,,
23-Nov-15,324.35,,,,,
22-Nov-15,326.98,,,,,
21-Nov-15,322.09,,,,,
20-Nov-15,326.41,,,,,
19-Nov-15,334.68,,,,,
18-Nov-15,334.59,,,,,
17-Nov-15,330.36,,,,,
16-Nov-15,319.74,,,,,
15-Nov-15,333.05,,,,,
14-Nov-15,336.62,,,,,
13-Nov-15,338.5,,,,,
12-Nov-15,314.08,,,,,
11-Nov-15,339.82,,,,,
10-Nov-15,379.98,,,,,
9-Nov-15,374.32,,,,,
8-Nov-15,384.28,,,,,
7-Nov-15,374.27,,,,,
6-Nov-15,388.05,,,,,
5-Nov-15,408.08,,,,,
4-Nov-15,403.66,,,,,
3-Nov-15,361.87,,,,,
2-Nov-15,325.94,,,,,
1-Nov-15,315,,,,,
31-Oct-15,328.51,,,,,
30-Oct-15,313.94,,,,,
29-Oct-15,304.32,,,,,
28-Oct-15,293.7,,,,,
27-Oct-15,285.18,,,,,
26-Oct-15,283.63,,,,,
25-Oct-15,281.44,,,,,
24-Oct-15,276.5,,,,,
23-Oct-15,273.65,,,,,
22-Oct-15,266.5,,,,,
21-Oct-15,269.31,,,,,
20-Oct-15,263.57,,,,,
19-Oct-15,261.86,,,,,
18-Oct-15,270.91,,,,,
17-Oct-15,262.75,,,,,
16-Oct-15,254.3,,,,,
15-Oct-15,252.11,,,,,
14-Oct-15,249.49,,,,,
13-Oct-15,245.2,,,,,
12-Oct-15,246.88,,,,,
11-Oct-15,244.74,,,,,
10-Oct-15,243.74,,,,,
9-Oct-15,242.5,,,,,
8-Oct-15,243.07,,,,,
7-Oct-15,246.17,,,,,
6-Oct-15,240.36,,,,,
5-Oct-15,238.15,,,,,
4-Oct-15,238.53,,,,,
3-Oct-15,237.2,,,,,
2-Oct-15,237.26,,,,,
1-Oct-15,236,,,,,
30-Sep-15,236.64,,,,,
29-Sep-15,239.02,,,,,
28-Sep-15,232.84,,,,,
27-Sep-15,234.14,,,,,
26-Sep-15,235.08,,,,,
25-Sep-15,234.36,,,,,
24-Sep-15,230.36,,,,,
23-Sep-15,230.94,,,,,
22-Sep-15,226.97,,,,,
21-Sep-15,231.22,,,,,
20-Sep-15,231.4,,,,,
19-Sep-15,232.86,,,,,
18-Sep-15,233.52,,,,,
